BusinessEntityID,RateChangeDate,Rate,PayFrequency,ModifiedDat
1,15-02-03 0:00,125.5,2,31-07-08 0:00
2,03-03-02 0:00,63.4615,2,31-07-08 0:00
3,12-12-01 0:00,43.2692,2,31-07-08 0:00
4,05-01-02 0:00,8.62,2,22-12-01 0:00
4,01-07-04 0:00,23.72,2,16-06-04 0:00
4,15-01-06 0:00,29.8462,2,01-01-06 0:00
5,06-02-02 0:00,32.6923,2,31-07-08 0:00
6,24-02-02 0:00,32.6923,2,31-07-08 0:00
7,12-03-03 0:00,50.4808,2,31-07-08 0:00
8,30-01-03 0:00,40.8654,2,31-07-08 0:00
9,17-02-03 0:00,40.8654,2,31-07-08 0:00
10,04-06-03 0:00,42.4808,2,31-07-08 0:00
11,05-01-05 0:00,28.8462,2,31-07-08 0:00
12,11-01-02 0:00,25.0,2,31-07-08 0:00
13,23-01-05 0:00,25.0,2,31-07-08 0:00
14,30-01-05 0:00,36.0577,2,31-07-08 0:00
15,18-02-05 0:00,32.6923,2,31-07-08 0:00
16,20-01-02 0:00,24.0,2,06-01-02 0:00
16,16-08-03 0:00,28.75,2,02-08-03 0:00
16,01-06-06 0:00,37.5,2,18-05-06 0:00
17,26-02-01 0:00,13.4615,2,31-07-08 0:00
18,10-03-05 0:00,14.4231,2,31-07-08 0:00
19,17-03-05 0:00,13.4615,2,31-07-08 0:00
20,07-02-05 0:00,13.4615,2,31-07-08 0:00
21,03-04-03 0:00,14.4231,2,31-07-08 0:00
22,13-01-03 0:00,14.4231,2,31-07-08 0:00
23,13-02-03 0:00,14.4231,2,31-07-08 0:00
24,19-02-03 0:00,14.4231,2,31-07-08 0:00
25,07-03-03 0:00,84.1346,2,31-07-08 0:00
26,02-01-03 0:00,24.5192,2,31-07-08 0:00
27,30-03-02 0:00,25.0,2,31-07-08 0:00
28,31-07-00 0:00,12.45,1,31-07-08 0:00
29,24-02-03 0:00,12.45,1,31-07-08 0:00
30,02-03-03 0:00,12.45,1,31-07-08 0:00
31,05-02-03 0:00,12.45,1,31-07-08 0:00
32,30-01-03 0:00,12.45,1,31-07-08 0:00
33,18-01-03 0:00,12.45,1,31-07-08 0:00
34,20-03-03 0:00,12.45,1,31-07-08 0:00
35,12-03-03 0:00,12.45,1,31-07-08 0:00
36,14-03-03 0:00,12.45,1,31-07-08 0:00
37,08-04-03 0:00,12.45,1,31-07-08 0:00
38,17-02-04 0:00,12.45,1,31-07-08 0:00
39,08-03-04 0:00,12.45,1,31-07-08 0:00
40,26-01-02 0:00,25.0,2,31-07-08 0:00
41,22-02-03 0:00,12.45,1,31-07-08 0:00
42,28-01-03 0:00,12.45,1,31-07-08 0:00
43,03-02-03 0:00,12.45,1,31-07-08 0:00
44,09-01-03 0:00,12.45,1,31-07-08 0:00
45,30-03-03 0:00,12.45,1,31-07-08 0:00
46,12-03-03 0:00,12.45,1,31-07-08 0:00
47,26-03-03 0:00,25.0,2,31-07-08 0:00
48,06-02-02 0:00,13.45,1,31-07-08 0:00
49,07-02-02 0:00,13.45,1,31-07-08 0:00
50,05-03-02 0:00,13.45,1,31-07-08 0:00
51,23-03-02 0:00,13.45,1,31-07-08 0:00
52,11-04-02 0:00,13.45,1,31-07-08 0:00
53,29-04-02 0:00,13.45,1,31-07-08 0:00
54,02-02-04 0:00,13.45,1,31-07-08 0:00
55,11-03-02 0:00,25.0,2,31-07-08 0:00
56,09-03-03 0:00,11.0,1,31-07-08 0:00
57,27-03-03 0:00,11.0,1,31-07-08 0:00
58,06-01-03 0:00,11.0,1,31-07-08 0:00
59,25-01-03 0:00,11.0,1,31-07-08 0:00
60,12-02-03 0:00,11.0,1,31-07-08 0:00
61,19-02-03 0:00,11.0,1,31-07-08 0:00
62,18-04-02 0:00,25.0,2,31-07-08 0:00
63,01-03-04 0:00,12.45,1,31-07-08 0:00
64,26-03-04 0:00,12.45,1,31-07-08 0:00
65,26-03-04 0:00,12.45,1,31-07-08 0:00
66,23-01-04 0:00,12.45,1,31-07-08 0:00
67,06-04-03 0:00,12.45,1,31-07-08 0:00
68,04-01-04 0:00,12.45,1,31-07-08 0:00
69,19-03-03 0:00,12.45,1,31-07-08 0:00
70,16-01-03 0:00,12.45,1,31-07-08 0:00
71,19-03-03 0:00,25.0,2,31-07-08 0:00
72,02-01-03 0:00,9.5,1,31-07-08 0:00
73,20-01-03 0:00,9.5,1,31-07-08 0:00
74,08-02-03 0:00,9.5,1,31-07-08 0:00
75,27-02-03 0:00,9.5,1,31-07-08 0:00
76,16-03-03 0:00,9.5,1,31-07-08 0:00
77,04-04-03 0:00,9.5,1,31-07-08 0:00
78,16-01-03 0:00,25.0,2,31-07-08 0:00
79,25-02-04 0:00,15.0,1,31-07-08 0:00
80,18-02-04 0:00,15.0,1,31-07-08 0:00
81,30-01-04 0:00,15.0,1,31-07-08 0:00
82,03-04-04 0:00,15.0,1,31-07-08 0:00
83,15-03-04 0:00,15.0,1,31-07-08 0:00
84,08-03-04 0:00,15.0,1,31-07-08 0:00
85,12-01-04 0:00,15.0,1,31-07-08 0:00
86,06-02-03 0:00,15.0,1,31-07-08 0:00
87,23-01-03 0:00,25.0,2,31-07-08 0:00
88,19-01-04 0:00,13.45,1,31-07-08 0:00
89,04-03-04 0:00,13.45,1,31-07-08 0:00
90,23-03-04 0:00,13.45,1,31-07-08 0:00
91,13-02-04 0:00,13.45,1,31-07-08 0:00
92,10-04-04 0:00,13.45,1,31-07-08 0:00
93,28-01-03 0:00,25.0,2,31-07-08 0:00
94,13-01-03 0:00,11.0,1,31-07-08 0:00
95,20-01-03 0:00,11.0,1,31-07-08 0:00
96,03-04-03 0:00,11.0,1,31-07-08 0:00
97,14-03-03 0:00,11.0,1,31-07-08 0:00
98,15-03-03 0:00,11.0,1,31-07-08 0:00
99,07-02-03 0:00,11.0,1,31-07-08 0:00
100,13-02-03 0:00,11.0,1,31-07-08 0:00
101,26-02-03 0:00,11.0,1,31-07-08 0:00
102,04-01-03 0:00,25.0,2,31-07-08 0:00
103,07-01-04 0:00,13.45,1,31-07-08 0:00
104,26-01-04 0:00,13.45,1,31-07-08 0:00
105,26-01-04 0:00,13.45,1,31-07-08 0:00
106,30-03-04 0:00,13.45,1,31-07-08 0:00
107,11-03-04 0:00,13.45,1,31-07-08 0:00
108,09-01-03 0:00,25.0,2,31-07-08 0:00
109,08-01-03 0:00,11.0,1,31-07-08 0:00
110,15-01-03 0:00,11.0,1,31-07-08 0:00
111,18-01-03 0:00,11.0,1,31-07-08 0:00
112,02-02-03 0:00,11.0,1,31-07-08 0:00
113,26-01-03 0:00,11.0,1,31-07-08 0:00
114,14-02-03 0:00,11.0,1,31-07-08 0:00
115,21-02-03 0:00,11.0,1,31-07-08 0:00
116,04-03-03 0:00,11.0,1,31-07-08 0:00
117,22-03-03 0:00,11.0,1,31-07-08 0:00
118,17-03-03 0:00,11.0,1,31-07-08 0:00
119,29-03-03 0:00,11.0,1,31-07-08 0:00
120,05-04-03 0:00,11.0,1,31-07-08 0:00
121,03-02-03 0:00,19.2308,2,31-07-08 0:00
122,08-01-03 0:00,9.0,1,31-07-08 0:00
123,08-01-03 0:00,9.5,2,31-07-08 0:00
124,27-01-03 0:00,9.0,1,31-07-08 0:00
125,21-02-03 0:00,9.5,2,31-07-08 0:00
126,30-03-03 0:00,9.0,1,31-07-08 0:00
127,04-02-03 0:00,25.0,2,31-07-08 0:00
128,05-01-03 0:00,15.0,1,31-07-08 0:00
129,23-01-03 0:00,15.0,1,31-07-08 0:00
130,17-03-03 0:00,15.0,1,31-07-08 0:00
131,19-03-03 0:00,15.0,1,31-07-08 0:00
132,26-03-03 0:00,15.0,1,31-07-08 0:00
133,11-02-03 0:00,15.0,1,31-07-08 0:00
134,15-02-03 0:00,25.0,2,31-07-08 0:00
135,05-01-03 0:00,14.0,1,31-07-08 0:00
136,12-01-04 0:00,14.0,1,31-07-08 0:00
137,27-03-03 0:00,14.0,1,31-07-08 0:00
138,08-03-03 0:00,14.0,1,31-07-08 0:00
139,07-02-04 0:00,14.0,1,31-07-08 0:00
140,23-02-04 0:00,14.0,1,31-07-08 0:00
141,25-02-04 0:00,14.0,1,31-07-08 0:00
142,04-04-04 0:00,14.0,1,31-07-08 0:00
143,16-03-04 0:00,14.0,1,31-07-08 0:00
144,18-02-03 0:00,14.0,1,31-07-08 0:00
145,28-02-03 0:00,25.0,2,31-07-08 0:00
146,08-01-03 0:00,9.5,1,31-07-08 0:00
147,27-01-03 0:00,9.5,1,31-07-08 0:00
148,15-02-03 0:00,9.5,1,31-07-08 0:00
