PurchaseOrderID,RevisionNumber,Status,EmployeeID,VendorID,ShipMethodID,OrderDate,ShipDate,SubTotal,TaxAmt,Freight,TotalDue,ModifiedDate
1,1,4,258,1580,3,17-05-05 0:00,26-05-05 0:00,201.04,16.0832,5.026,222.1492,26-05-05 0:00
2,1,1,254,1496,5,17-05-05 0:00,26-05-05 0:00,272.1015,21.7681,6.8025,300.6721,26-05-05 0:00
3,1,4,257,1494,2,17-05-05 0:00,26-05-05 0:00,8847.3,707.784,221.1825,9776.2665,26-05-05 0:00
4,1,3,261,1650,5,17-05-05 0:00,26-05-05 0:00,171.0765,13.6861,4.2769,189.0395,26-05-05 0:00
5,1,4,251,1654,4,31-05-05 0:00,09-06-05 0:00,20397.3,1631.784,509.9325,22539.0165,09-06-05 0:00
6,1,4,253,1664,3,31-05-05 0:00,09-06-05 0:00,14628.075,1170.246,365.7019,16164.0229,09-06-05 0:00
7,1,4,255,1678,3,31-05-05 0:00,09-06-05 0:00,58685.55,4694.844,1467.1388,64847.5328,09-06-05 0:00
8,1,4,256,1616,5,31-05-05 0:00,09-06-05 0:00,693.378,55.4702,17.3345,766.1827,09-06-05 0:00
9,2,4,259,1492,5,14-01-06 0:00,23-01-06 0:00,694.1655,55.5332,17.3541,767.0528,23-01-06 0:00
10,1,4,250,1602,5,14-01-06 0:00,23-01-06 0:00,1796.0355,143.6828,44.9009,1984.6192,23-01-06 0:00
11,1,4,258,1540,4,14-01-06 0:00,23-01-06 0:00,501.1965,40.0957,12.5299,553.8221,23-01-06 0:00
12,1,4,254,1628,5,14-01-06 0:00,23-01-06 0:00,34644.225,2771.538,866.1056,38281.8686,23-01-06 0:00
13,1,4,257,1604,4,14-01-06 0:00,23-01-06 0:00,1839.5055,147.1604,45.9876,2032.6535,23-01-06 0:00
14,1,3,261,1690,5,14-01-06 0:00,23-01-06 0:00,146.286,11.7029,3.6572,161.6461,23-01-06 0:00
15,1,4,251,1566,5,14-01-06 0:00,23-01-06 0:00,102.564,8.2051,2.5641,113.3332,23-01-06 0:00
16,1,4,253,1698,5,14-01-06 0:00,23-01-06 0:00,150.7905,12.0632,3.7698,166.6235,23-01-06 0:00
17,1,4,255,1560,5,15-01-06 0:00,24-01-06 0:00,13669.425,1093.554,341.7356,15104.7146,24-01-06 0:00
18,1,4,256,1692,5,15-01-06 0:00,24-01-06 0:00,16393.23,1311.4584,409.8308,18114.5192,24-01-06 0:00
19,1,4,259,1696,2,15-01-06 0:00,24-01-06 0:00,79204.125,6336.33,1980.1031,87520.5581,24-01-06 0:00
20,1,4,260,1504,1,15-01-06 0:00,24-01-06 0:00,551.88,44.1504,13.797,609.8274,24-01-06 0:00
21,1,4,250,1544,1,15-01-06 0:00,24-01-06 0:00,6987.75,559.02,174.6938,7721.4638,24-01-06 0:00
22,1,4,254,1530,2,15-01-06 0:00,24-01-06 0:00,28072.275,2245.782,701.8069,31019.8639,24-01-06 0:00
23,1,4,257,1508,1,15-01-06 0:00,24-01-06 0:00,37312.275,2984.982,932.8069,41230.0639,24-01-06 0:00
24,1,3,261,1694,1,15-01-06 0:00,24-01-06 0:00,4215.75,337.26,105.3938,4658.4038,24-01-06 0:00
25,1,4,251,1624,2,15-01-06 0:00,24-01-06 0:00,28297.5,2263.8,707.4375,31268.7375,24-01-06 0:00
26,1,4,253,1548,2,15-01-06 0:00,24-01-06 0:00,59.9445,4.7956,1.4986,66.2387,24-01-06 0:00
27,1,4,255,1598,4,15-01-06 0:00,24-01-06 0:00,722.61,57.8088,18.0653,798.4841,24-01-06 0:00
28,1,4,256,1658,5,15-01-06 0:00,24-01-06 0:00,43878.45,3510.276,1096.9613,48485.6873,24-01-06 0:00
29,1,4,259,1536,4,08-02-06 0:00,17-02-06 0:00,592.7985,47.4239,14.82,655.0424,17-02-06 0:00
30,1,4,260,1568,2,08-02-06 0:00,17-02-06 0:00,21252,1700.16,531.3,23483.46,17-02-06 0:00
31,1,4,258,1648,5,08-02-06 0:00,17-02-06 0:00,142.4115,11.3929,3.5603,157.3647,17-02-06 0:00
32,3,4,254,1646,2,08-02-06 0:00,17-02-06 0:00,28794.15,2303.532,719.8538,31817.5358,17-02-06 0:00
33,1,4,257,1672,4,16-02-06 0:00,25-02-06 0:00,421.155,33.6924,10.5289,465.3763,25-02-06 0:00
34,1,3,261,1600,1,16-02-06 0:00,25-02-06 0:00,1276.275,102.102,31.9069,1410.2839,25-02-06 0:00
35,1,4,251,1522,1,16-02-06 0:00,25-02-06 0:00,2003.925,160.314,50.0981,2214.3371,25-02-06 0:00
36,1,4,253,1570,2,16-02-06 0:00,25-02-06 0:00,50860.425,4068.834,1271.5106,56200.7696,25-02-06 0:00
37,1,4,255,1516,1,16-02-06 0:00,25-02-06 0:00,454.86,36.3888,11.3715,502.6203,25-02-06 0:00
38,3,4,256,1506,5,16-02-06 0:00,25-02-06 0:00,43878.45,3510.276,1096.9613,48485.6873,25-02-06 0:00
39,1,4,252,1626,2,16-02-06 0:00,25-02-06 0:00,7132.125,570.57,178.3031,7880.9981,25-02-06 0:00
