BusinessEntityID,AccountNumber,Name,CreditRating,PreferredVendorStatus,ActiveFlag,PurchasingWebServiceURL,ModifiedDat
1492,0,Australia Bike Retailer,1,1,1,,23-01-06 0:00
1494,1,Allenson Cycles,2,2,1,,26-05-05 0:00
1496,2,Advanced Bicycles,1,1,1,,26-05-05 0:00
1498,3,"Trikes, Inc.",2,2,1,,06-03-06 0:00
1500,4,Morgan Bike Accessories,1,1,1,,05-03-06 0:00
1502,5,Cycling Master,1,1,1,,24-01-06 0:00
1504,6,Chicago Rent-All,2,2,1,,24-01-06 0:00
1506,7,Greenwood Athletic Company,1,1,1,,25-02-06 0:00
1508,8,"Compete Enterprises, Inc",1,1,1,,24-01-06 0:00
1510,9,International,1,1,1,,25-02-06 0:00
1512,10,Light Speed,1,1,1,,23-01-06 0:00
1514,11,Training Systems,1,1,1,,06-03-06 0:00
1516,12,Gardner Touring Cycles,1,1,0,,25-02-06 0:00
1518,13,International Trek Center,1,1,1,,24-01-06 0:00
1520,14,G & K Bicycle Corp.,1,1,1,,24-01-06 0:00
1522,15,First National Sport Co.,1,1,1,,25-02-06 0:00
1524,16,Recreation Place,4,4,1,,05-03-06 0:00
1526,17,International Bicycles,1,1,1,,25-02-06 0:00
1528,18,Image Makers Bike Center,1,1,1,,06-03-06 0:00
1530,19,Comfort Road Bicycles,1,1,1,,24-01-06 0:00
1532,20,Knopfler Cycles,1,1,1,,01-03-06 0:00
1534,21,Ready Rentals,1,1,1,,05-03-06 0:00
1536,22,Cruger Bike Company,1,1,1,,17-02-06 0:00
1538,23,Vista Road Bikes,3,3,1,,21-03-06 0:00
1540,24,Bergeron Off-Roads,1,1,1,,23-01-06 0:00
1542,25,Hill's Bicycle Service,1,1,1,,25-02-06 0:00
1544,26,Circuit Cycles,1,1,0,,24-01-06 0:00
1546,27,Green Lake Bike Company,1,1,1,,01-03-06 0:00
1548,28,Consumer Cycles,3,3,1,,24-01-06 0:00
1550,29,Merit Bikes,5,5,1,,06-03-06 0:00
1552,30,Sports House,1,1,1,,25-02-06 0:00
1554,31,WestAmerica Bicycle Co.,1,1,1,,21-03-06 0:00
1556,32,West Junction Cycles,1,1,1,,21-03-06 0:00
1558,33,Marsh,1,1,1,,06-03-06 0:00
1560,34,Capital Road Cycles,1,1,1,,24-01-06 0:00
1562,35,Norstan Bike Hut,1,1,1,,05-03-06 0:00
1564,36,Illinois Trek & Clothing,1,1,1,,23-01-06 0:00
1566,37,Burnett Road Warriors,1,1,1,,23-01-06 0:00
1568,38,"Custom Frames, Inc.",2,2,1,,17-02-06 0:00
1570,39,First Rate Bicycles,1,1,1,,25-02-06 0:00
1572,40,National Bike Association,1,1,1,,05-03-06 0:00
1574,41,Jeff's Sporting Goods,1,1,1,,24-01-06 0:00
